#
#
# US Geological Survey, Water Resources Data
# retrieved: 2019-05-26 16:21:33 EDT      (caww02)
#
# This file contains USGS Surface-Water Monthly Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd    agency code
# site_no USGS site number
# parameter_cd
# ts_id
# year_nu Calendar year for value
# month_nu     Month for value
# mean_va monthly-mean value.
#         if there is not complete record
#         for a month this field is blank
#
#
# Sites in this file include:
# USGS 06752260 CACHE LA POUDRE RIVER AT FORT COLLINS, CO
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		17702	
# 00095		Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius		17705	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
5s	15s	5s	3n	4s	2s	12n
USGS	06752260	00060	17702	1975	5	38.1
USGS	06752260	00060	17702	1975	6	703.6
USGS	06752260	00060	17702	1975	7	261.5
USGS	06752260	00060	17702	1975	8	35.1
USGS	06752260	00060	17702	1975	9	9.50
USGS	06752260	00060	17702	1975	10	7.23
USGS	06752260	00060	17702	1975	11	4.47
USGS	06752260	00060	17702	1975	12	4.09
USGS	06752260	00060	17702	1976	1	3.46
USGS	06752260	00060	17702	1976	2	3.51
USGS	06752260	00060	17702	1976	3	2.91
USGS	06752260	00060	17702	1976	4	7.06
USGS	06752260	00060	17702	1976	5	14.9
USGS	06752260	00060	17702	1976	6	166.7
USGS	06752260	00060	17702	1976	7	167.3
USGS	06752260	00060	17702	1976	8	159.5
USGS	06752260	00060	17702	1976	9	32.9
USGS	06752260	00060	17702	1976	10	5.89
USGS	06752260	00060	17702	1976	11	2.62
USGS	06752260	00060	17702	1976	12	2.08
USGS	06752260	00060	17702	1977	1	2.45
USGS	06752260	00060	17702	1977	2	2.65
USGS	06752260	00060	17702	1977	3	3.06
USGS	06752260	00060	17702	1977	4	4.55
USGS	06752260	00060	17702	1977	5	116.2
USGS	06752260	00060	17702	1977	6	214.6
USGS	06752260	00060	17702	1977	7	87.4
USGS	06752260	00060	17702	1977	8	40.7
